[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.185,792.592,49.9173,0.00225834,1596,0.00123988,-0.0142843,49.9124,0.0519304,16938.3,94.7717,112.78,0.0017414;
0.19,792.394,49.9151,0.00236618,1595.89,0.0016083,-0.0146812,49.9082,0.0515317,17395.5,97.3232,115.812,0.00190132;
0.195,792.196,49.9127,0.00247265,1595.78,0.00239456,-0.0150445,49.904,0.0509677,17852.6,99.8741,118.843,0.00206861;
0.2,791.998,49.9104,0.00257726,1595.67,0.00352119,-0.0151124,49.8996,0.050126,18309.8,102.425,121.873,0.00224315;
0.205,791.8,49.9081,0.00267931,1595.57,0.00477147,-0.0147158,49.8953,0.0489376,18766.9,104.974,124.902,0.0024248;
0.21,791.602,49.9058,0.00277801,1595.46,0.00586895,-0.0138411,49.8912,0.0474067,19224,107.524,127.93,0.00261334;
0.215,791.404,49.9035,0.00287269,1595.35,0.00657858,-0.0126361,49.8874,0.0456127,19681,110.073,130.957,0.00280852;
0.22,791.206,49.9012,0.00296291,1595.25,0.00679198,-0.0113555,49.884,0.043686,20138,112.621,133.984,0.00301003;
0.225,791.009,49.8988,0.00304854,1595.14,0.00656538,-0.0102682,49.8809,0.0417645,20595,115.169,137.01,0.00321757;
0.23,790.811,49.8965,0.00312974,1595.03,0.00609672,-0.00955964,49.8781,0.0399483,21052,117.716,140.034,0.0034308;
0.235,790.614,49.8942,0.0032068,1594.93,0.00565076,-0.00926612,49.8754,0.0382693,21508.9,120.263,143.058,0.00364944;
0.24,790.417,49.8919,0.00328002,1594.82,0.00546029,-0.00926435,49.8728,0.0366857,21965.8,122.809,146.081,0.00387321;
0.245,790.219,49.8895,0.00334951,1594.71,0.00564006,-0.00932045,49.8701,0.0351044,22422.7,125.355,149.104,0.00410185;
0.25,790.022,49.8872,0.00341518,1594.61,0.00614526,-0.00917921,49.8674,0.0334219,22879.5,127.901,152.125,0.00433509;
0.255,789.825,49.8849,0.00347673,1594.5,0.00678936,-0.00866058,49.8649,0.0315693,23336.3,130.445,155.146,0.00457266;
0.26,789.628,49.8825,0.00353378,1594.39,0.00731446,-0.0077276,49.8625,0.0295431,23793.1,132.99,158.165,0.00481425;
0.265,789.431,49.8802,0.00358602,1594.29,0.00748751,-0.00650089,49.8605,0.0274126,24249.9,135.533,161.184,0.00505956;
0.27,789.235,49.8778,0.00363336,1594.18,0.00718696,-0.00521473,49.8588,0.0252994,24706.6,138.077,164.202,0.00530823;
0.275,789.038,49.8755,0.003676,1594.07,0.00644751,-0.00413142,49.8575,0.023338,25163.2,140.619,167.219,0.00555993;
0.28,788.841,49.8732,0.00371444,1593.97,0.00544707,-0.00344577,49.8564,0.0216312,25619.9,143.162,170.235,0.00581436;
