[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
4.55,650.504,47.6614,0.0664022,1519.06,-0.000560398,-0.00995056,47.6666,0.127728,405837,2152.84,2469.61,1.69955;
4.555,650.371,47.6585,0.0664901,1518.99,-0.000600333,-0.00995778,47.6637,0.127894,406272,2155.03,2472.01,1.70332;
4.56,650.237,47.6556,0.0665781,1518.92,-0.00063342,-0.00998574,47.6609,0.128071,406707,2157.22,2474.41,1.7071;
4.565,650.103,47.6527,0.0666662,1518.85,-0.000648903,-0.0100266,47.658,0.128255,407142,2159.41,2476.82,1.71088;
4.57,649.97,47.6498,0.0667544,1518.77,-0.000642665,-0.0100679,47.6551,0.128441,407578,2161.6,2479.22,1.71466;
4.575,649.836,47.6469,0.0668427,1518.7,-0.000618748,-0.0100968,47.6523,0.128622,408013,2163.79,2481.62,1.71845;
4.58,649.703,47.644,0.0669311,1518.63,-0.000587764,-0.0101057,47.6494,0.128795,408448,2165.98,2484.02,1.72225;
4.585,649.569,47.6411,0.0670196,1518.56,-0.000562827,-0.0100945,47.6465,0.128959,408883,2168.17,2486.42,1.72604;
4.59,649.436,47.6382,0.0671081,1518.49,-0.000554561,-0.0100707,47.6436,0.129119,409318,2170.36,2488.82,1.72984;
4.595,649.303,47.6353,0.0671967,1518.41,-0.000567081,-0.0100468,47.6407,0.129279,409753,2172.54,2491.22,1.73365;
4.6,649.169,47.6324,0.0672854,1518.34,-0.000596472,-0.0100351,47.6378,0.129445,410188,2174.73,2493.62,1.73746;
4.605,649.036,47.6295,0.0673741,1518.27,-0.000632321,-0.0100433,47.6349,0.129621,410623,2176.92,2496.02,1.74127;
4.61,648.903,47.6266,0.067463,1518.2,-0.000661712,-0.0100715,47.6321,0.129807,411058,2179.11,2498.41,1.74509;
4.615,648.77,47.6237,0.0675519,1518.13,-0.000674134,-0.0101123,47.6292,0.129999,411493,2181.29,2500.81,1.74891;
4.62,648.637,47.6207,0.0676409,1518.05,-0.000665462,-0.0101535,47.6263,0.130191,411928,2183.48,2503.21,1.75274;
4.625,648.504,47.6178,0.0677301,1517.98,-0.000639474,-0.0101829,47.6234,0.130378,412362,2185.66,2505.6,1.75657;
4.63,648.371,47.6149,0.0678193,1517.91,-0.000606378,-0.0101928,47.6204,0.130557,412797,2187.85,2508,1.76041;
4.635,648.238,47.612,0.0679086,1517.84,-0.000578892,-0.0101829,47.6175,0.130726,413232,2190.03,2510.39,1.76425;
4.64,648.105,47.6091,0.067998,1517.77,-0.00056741,-0.0101605,47.6146,0.13089,413667,2192.22,2512.78,1.76809;
4.645,647.972,47.6062,0.0680875,1517.7,-0.000576071,-0.0101375,47.6117,0.131053,414102,2194.4,2515.18,1.77194;
4.65,647.839,47.6033,0.068177,1517.62,-0.000601233,-0.0101261,47.6088,0.131222,414536,2196.59,2517.57,1.77579;
4.655,647.707,47.6004,0.0682666,1517.55,-0.000632898,-0.0101337,47.6059,0.131399,414971,2198.77,2519.96,1.77965;
4.66,647.574,47.5974,0.0683563,1517.48,-0.000658555,-0.0101606,47.603,0.131584,415406,2200.96,2522.35,1.78351;
4.665,647.441,47.5945,0.0684461,1517.41,-0.000667937,-0.0101998,47.6001,0.131774,415841,2203.14,2524.74,1.78737;
4.67,647.309,47.5916,0.068536,1517.34,-0.000656911,-0.0102394,47.5971,0.131965,416275,2205.32,2527.13,1.79124;
4.675,647.176,47.5887,0.068626,1517.27,-0.000629005,-0.0102676,47.5942,0.132149,416710,2207.5,2529.52,1.79511;
4.68,647.044,47.5858,0.0687161,1517.19,-0.000594031,-0.0102769,47.5913,0.132324,417145,2209.69,2531.91,1.79899;
4.685,646.911,47.5829,0.0688062,1517.12,-0.000564323,-0.0102668,47.5883,0.13249,417579,2211.87,2534.3,1.80287;
4.69,646.779,47.5799,0.0688964,1517.05,-0.000550046,-0.0102442,47.5854,0.132649,418014,2214.05,2536.69,1.80676;
4.695,646.647,47.577,0.0689867,1516.98,-0.00055536,-0.0102208,47.5825,0.132807,418449,2216.23,2539.07,1.81065;
4.7,646.514,47.5741,0.069077,1516.91,-0.000576878,-0.0102081,47.5795,0.132969,418883,2218.41,2541.46,1.81455;
4.705,646.382,47.5712,0.0691674,1516.84,-0.000605006,-0.0102138,47.5766,0.133138,419318,2220.59,2543.85,1.81845;
4.71,646.25,47.5683,0.0692579,1516.76,-0.000627622,-0.0102381,47.5737,0.133315,419752,2222.77,2546.23,1.82235;
4.715,646.118,47.5653,0.0693484,1516.69,-0.000634698,-0.0102743,47.5707,0.133496,420187,2224.95,2548.62,1.82626;
4.72,645.986,47.5624,0.0694391,1516.62,-0.000622094,-0.0103112,47.5678,0.133677,420621,2227.13,2551,1.83017;
4.725,645.854,47.5595,0.0695298,1516.55,-0.000593096,-0.0103371,47.5648,0.133851,421056,2229.31,2553.38,1.83409;
4.73,645.722,47.5566,0.0696206,1516.48,-0.000557132,-0.0103445,47.5619,0.134016,421490,2231.49,2555.77,1.83801;
4.735,645.59,47.5536,0.0697115,1516.41,-0.000526156,-0.0103331,47.5589,0.134171,421925,2233.67,2558.15,1.84193;
4.74,645.458,47.5507,0.0698024,1516.34,-0.000510109,-0.0103093,47.5559,0.134319,422359,2235.85,2560.53,1.84586;
4.745,645.327,47.5478,0.0698933,1516.27,-0.00051316,-0.0102843,47.553,0.134465,422793,2238.03,2562.91,1.8498;
4.75,645.195,47.5448,0.0699843,1516.19,-0.00053217,-0.0102695,47.55,0.134614,423228,2240.2,2565.29,1.85374;
4.755,645.063,47.5419,0.0700753,1516.12,-0.000557926,-0.0102723,47.5471,0.134771,423662,2242.38,2567.67,1.85768;
4.76,644.932,47.539,0.0701664,1516.05,-0.000578688,-0.0102933,47.5442,0.134934,424096,2244.56,2570.05,1.86162;
4.765,644.8,47.536,0.0702575,1515.98,-0.000584657,-0.0103259,47.5412,0.135101,424531,2246.74,2572.43,1.86558;
4.77,644.668,47.5331,0.0703487,1515.91,-0.000571685,-0.0103593,47.5382,0.135267,424965,2248.91,2574.81,1.86953;
4.775,644.537,47.5302,0.07044,1515.84,-0.000542824,-0.0103822,47.5353,0.135427,425399,2251.09,2577.19,1.87349;
4.78,644.406,47.5272,0.0705313,1515.77,-0.000507126,-0.0103872,47.5323,0.135577,425834,2253.26,2579.56,1.87746;
4.785,644.274,47.5243,0.0706227,1515.7,-0.000476174,-0.0103739,47.5293,0.135718,426268,2255.44,2581.94,1.88142;
4.79,644.143,47.5214,0.0707141,1515.63,-0.000459683,-0.0103484,47.5264,0.135851,426702,2257.61,2584.31,1.8854;
4.795,644.012,47.5184,0.0708055,1515.56,-0.000461827,-0.0103216,47.5234,0.135983,427136,2259.79,2586.69,1.88937;
4.8,643.88,47.5155,0.0708969,1515.48,-0.000479698,-0.0103044,47.5204,0.136117,427570,2261.96,2589.06,1.89336;
4.805,643.749,47.5126,0.0709884,1515.41,-0.000504455,-0.0103041,47.5175,0.136258,428004,2264.14,2591.44,1.89734;
4.81,643.618,47.5096,0.0710798,1515.34,-0.000524719,-0.0103216,47.5145,0.136406,428439,2266.31,2593.81,1.90133;
4.815,643.487,47.5067,0.0711714,1515.27,-0.000530915,-0.0103505,47.5116,0.136558,428873,2268.49,2596.18,1.90533;
4.82,643.356,47.5037,0.0712629,1515.2,-0.00051889,-0.0103804,47.5086,0.136708,429307,2270.66,2598.56,1.90932;
4.825,643.225,47.5008,0.0713545,1515.13,-0.000491466,-0.0104004,47.5056,0.136853,429741,2272.83,2600.93,1.91333;
4.83,643.094,47.4979,0.0714462,1515.06,-0.000457327,-0.0104032,47.5026,0.136989,430175,2275,2603.3,1.91733;
4.835,642.963,47.4949,0.0715378,1514.99,-0.000427694,-0.0103881,47.4997,0.137116,430609,2277.18,2605.67,1.92135;
4.84,642.832,47.492,0.0716295,1514.92,-0.000412057,-0.0103612,47.4967,0.137236,431043,2279.35,2608.04,1.92536;
4.845,642.702,47.489,0.0717211,1514.85,-0.000414588,-0.0103326,47.4937,0.137354,431477,2281.52,2610.41,1.92938;
4.85,642.571,47.4861,0.0718128,1514.78,-0.000432599,-0.0103134,47.4908,0.137475,431911,2283.69,2612.78,1.93341;
4.855,642.44,47.4831,0.0719045,1514.71,-0.000457602,-0.0103106,47.4878,0.137602,432345,2285.86,2615.14,1.93744;
4.86,642.31,47.4802,0.0719961,1514.64,-0.000478574,-0.010325,47.4849,0.137737,432779,2288.03,2617.51,1.94147;
4.865,642.179,47.4772,0.0720878,1514.57,-0.000486151,-0.0103508,47.4819,0.137875,433213,2290.2,2619.88,1.94551;
4.87,642.049,47.4743,0.0721796,1514.49,-0.000476178,-0.0103778,47.4789,0.138013,433646,2292.37,2622.24,1.94955;
4.875,641.918,47.4713,0.0722713,1514.42,-0.000451254,-0.0103955,47.476,0.138147,434080,2294.54,2624.61,1.9536;
4.88,641.788,47.4684,0.0723631,1514.35,-0.000419705,-0.0103967,47.473,0.138271,434514,2296.71,2626.97,1.95765;
4.885,641.657,47.4654,0.0724548,1514.28,-0.000392396,-0.0103806,47.47,0.138387,434948,2298.88,2629.34,1.9617;
4.89,641.527,47.4625,0.0725466,1514.21,-0.000378594,-0.0103529,47.467,0.138497,435382,2301.05,2631.7,1.96576;
4.895,641.397,47.4595,0.0726383,1514.14,-0.000382467,-0.0103235,47.4641,0.138606,435816,2303.22,2634.07,1.96982;
4.9,641.267,47.4566,0.0727301,1514.07,-0.000401532,-0.0103031,47.4611,0.138718,436249,2305.39,2636.43,1.97389;
4.905,641.137,47.4536,0.0728218,1514,-0.000427646,-0.0102986,47.4582,0.138837,436683,2307.55,2638.79,1.97796;
4.91,641.006,47.4507,0.0729135,1513.93,-0.000450126,-0.0103109,47.4552,0.138963,437117,2309.72,2641.15,1.98204;
4.915,640.876,47.4477,0.0730053,1513.86,-0.000459818,-0.0103346,47.4523,0.139094,437550,2311.89,2643.51,1.98612;
4.92,640.746,47.4448,0.073097,1513.79,-0.000452565,-0.0103598,47.4493,0.139225,437984,2314.06,2645.87,1.99021;
4.925,640.616,47.4418,0.0731888,1513.72,-0.000430749,-0.0103761,47.4463,0.139351,438418,2316.22,2648.23,1.9943;
4.93,640.487,47.4389,0.0732806,1513.65,-0.000402351,-0.0103767,47.4434,0.139471,438851,2318.39,2650.59,1.99839;
4.935,640.357,47.4359,0.0733723,1513.58,-0.000377886,-0.0103606,47.4404,0.139582,439285,2320.56,2652.95,2.00249;
4.94,640.227,47.4329,0.0734641,1513.51,-0.000366403,-0.0103332,47.4374,0.139688,439719,2322.72,2655.31,2.00659;
4.945,640.097,47.43,0.0735558,1513.44,-0.000372061,-0.0103041,47.4345,0.139794,440152,2324.89,2657.67,2.0107;
4.95,639.967,47.427,0.0736475,1513.37,-0.000392578,-0.0102836,47.4315,0.139903,440586,2327.05,2660.02,2.01481;
4.955,639.838,47.4241,0.0737392,1513.3,-0.000420139,-0.0102785,47.4286,0.14002,441019,2329.22,2662.38,2.01892;
4.96,639.708,47.4211,0.0738309,1513.23,-0.000444394,-0.0102899,47.4256,0.140144,441453,2331.38,2664.73,2.02304;
4.965,639.579,47.4181,0.0739227,1513.16,-0.000456396,-0.0103125,47.4227,0.140273,441886,2333.54,2667.09,2.02717;
4.97,639.449,47.4152,0.0740144,1513.09,-0.000451986,-0.010337,47.4197,0.140403,442320,2335.71,2669.44,2.03129;
4.975,639.32,47.4122,0.0741061,1513.02,-0.00043334,-0.0103532,47.4167,0.14053,442753,2337.87,2671.8,2.03543;
4.98,639.19,47.4092,0.0741979,1512.95,-0.000408103,-0.0103544,47.4138,0.140651,443187,2340.03,2674.15,2.03956;
4.985,639.061,47.4063,0.0742896,1512.88,-0.000386454,-0.0103394,47.4108,0.140765,443620,2342.2,2676.5,2.0437;
4.99,638.932,47.4033,0.0743814,1512.81,-0.000377226,-0.0103133,47.4079,0.140874,444054,2344.36,2678.85,2.04785;
4.995,638.802,47.4003,0.0744731,1512.74,-0.000384565,-0.0102855,47.4049,0.140982,444487,2346.52,2681.21,2.052;
5,638.673,47.3974,0.0745648,1512.67,-0.000406385,-0.010266,47.402,0.141095,444920,2348.68,2683.56,2.05615;
5.005,638.544,47.3944,0.0746565,1512.6,-0.000435191,-0.0102614,47.399,0.141216,445354,2350.84,2685.91,2.06031;
5.01,638.415,47.3914,0.0747482,1512.53,-0.000460956,-0.010273,47.3961,0.141345,445787,2353.01,2688.26,2.06447;
5.015,638.286,47.3885,0.07484,1512.46,-0.000474937,-0.0102957,47.3931,0.141479,446220,2355.17,2690.61,2.06864;
5.02,638.157,47.3855,0.0749317,1512.39,-0.000472977,-0.0103205,47.3902,0.141615,446654,2357.33,2692.95,2.07281;
5.025,638.028,47.3825,0.0750235,1512.32,-0.000457057,-0.0103376,47.3872,0.141749,447087,2359.49,2695.3,2.07699;
5.03,637.899,47.3795,0.0751153,1512.25,-0.000434496,-0.0103402,47.3843,0.141876,447520,2361.65,2697.65,2.08116;
5.035,637.77,47.3766,0.0752071,1512.18,-0.000415145,-0.0103271,47.3813,0.141998,447953,2363.81,2700,2.08535;
5.04,637.641,47.3736,0.0752989,1512.11,-0.000407631,-0.0103034,47.3783,0.142115,448386,2365.97,2702.34,2.08954;
5.045,637.513,47.3706,0.0753906,1512.04,-0.000416088,-0.0102778,47.3754,0.142233,448820,2368.12,2704.69,2.09373;
5.05,637.384,47.3676,0.0754824,1511.98,-0.000438615,-0.01026,47.3725,0.142355,449253,2370.28,2707.03,2.09792;
5.055,637.255,47.3647,0.0755742,1511.91,-0.00046803,-0.0102568,47.3695,0.142485,449686,2372.44,2709.38,2.10213;
5.06,637.127,47.3617,0.075666,1511.84,-0.000494623,-0.0102693,47.3666,0.142623,450119,2374.6,2711.72,2.10633;
5.065,636.998,47.3587,0.0757579,1511.77,-0.000509852,-0.0102929,47.3636,0.142767,450552,2376.76,2714.06,2.11054;
5.07,636.87,47.3557,0.0758498,1511.7,-0.000509569,-0.0103187,47.3607,0.142914,450985,2378.91,2716.41,2.11475;
5.075,636.741,47.3528,0.0759417,1511.63,-0.000495565,-0.0103372,47.3577,0.143058,451418,2381.07,2718.75,2.11897;
5.08,636.613,47.3498,0.0760336,1511.56,-0.000474849,-0.0103419,47.3548,0.143197,451851,2383.23,2721.09,2.12319;
5.085,636.484,47.3468,0.0761256,1511.49,-0.000456955,-0.0103314,47.3518,0.14333,452284,2385.38,2723.43,2.12742;
5.09,636.356,47.3438,0.0762176,1511.42,-0.000450308,-0.0103104,47.3488,0.14346,452717,2387.54,2725.77,2.13165;
5.095,636.228,47.3408,0.0763096,1511.35,-0.000459029,-0.0102874,47.3459,0.14359,453150,2389.7,2728.11,2.13588;
5.1,636.1,47.3378,0.0764016,1511.28,-0.000481399,-0.0102719,47.3429,0.143724,453583,2391.85,2730.45,2.14012;
5.105,635.971,47.3349,0.0764936,1511.21,-0.00051054,-0.0102705,47.34,0.143866,454016,2394.01,2732.79,2.14437;
5.11,635.843,47.3319,0.0765857,1511.14,-0.000537055,-0.0102843,47.3371,0.144016,454449,2396.16,2735.13,2.14861;
5.115,635.715,47.3289,0.0766778,1511.07,-0.0005526,-0.010309,47.3341,0.144173,454882,2398.32,2737.46,2.15286;
5.12,635.587,47.3259,0.0767699,1511.01,-0.000553038,-0.0103361,47.3312,0.144332,455315,2400.47,2739.8,2.15712;
5.125,635.459,47.3229,0.0768622,1510.94,-0.000539984,-0.0103564,47.3282,0.144488,455748,2402.63,2742.14,2.16138;
5.13,635.331,47.3199,0.0769544,1510.87,-0.000520145,-0.0103633,47.3252,0.14464,456181,2404.78,2744.47,2.16565;
5.135,635.204,47.3169,0.0770467,1510.8,-0.000502751,-0.0103554,47.3223,0.144787,456613,2406.93,2746.81,2.16991;
5.14,635.076,47.3139,0.077139,1510.73,-0.000496028,-0.0103372,47.3193,0.144929,457046,2409.09,2749.14,2.17419;
5.145,634.948,47.311,0.0772314,1510.66,-0.000504087,-0.0103169,47.3163,0.145072,457479,2411.24,2751.48,2.17846;
5.15,634.82,47.308,0.0773238,1510.59,-0.000525385,-0.0103036,47.3134,0.145219,457912,2413.39,2753.81,2.18275;
5.155,634.693,47.305,0.0774162,1510.52,-0.000553342,-0.0103039,47.3104,0.145374,458345,2415.54,2756.14,2.18703;
5.16,634.565,47.302,0.0775087,1510.45,-0.000578865,-0.010319,47.3075,0.145536,458777,2417.69,2758.47,2.19132;
5.165,634.437,47.299,0.0776012,1510.38,-0.000593807,-0.0103447,47.3045,0.145705,459210,2419.85,2760.81,2.19562;
5.17,634.31,47.296,0.0776938,1510.32,-0.000594047,-0.0103729,47.3015,0.145875,459643,2422,2763.14,2.19991;
5.175,634.182,47.293,0.0777865,1510.25,-0.000581031,-0.0103947,47.2986,0.146044,460075,2424.15,2765.47,2.20422;
5.18,634.055,47.29,0.0778792,1510.18,-0.000561178,-0.0104035,47.2956,0.146207,460508,2426.3,2767.8,2.20852;
5.185,633.928,47.287,0.077972,1510.11,-0.000543419,-0.010398,47.2926,0.146365,460941,2428.45,2770.13,2.21284;
5.19,633.8,47.284,0.0780648,1510.04,-0.000535792,-0.0103822,47.2896,0.14652,461373,2430.6,2772.45,2.21715;
5.195,633.673,47.281,0.0781577,1509.97,-0.000542396,-0.0103641,47.2867,0.146674,461806,2432.75,2774.78,2.22147;
5.2,633.546,47.278,0.0782506,1509.9,-0.000561858,-0.0103527,47.2837,0.146832,462238,2434.9,2777.11,2.2258;
5.205,633.419,47.275,0.0783436,1509.83,-0.000587888,-0.0103542,47.2807,0.146996,462671,2437.05,2779.44,2.23012;
5.21,633.291,47.272,0.0784366,1509.77,-0.00061169,-0.0103701,47.2778,0.147168,463103,2439.19,2781.76,2.23446;
5.215,633.164,47.269,0.0785297,1509.7,-0.000625313,-0.0103963,47.2748,0.147346,463536,2441.34,2784.09,2.23879;
5.22,633.037,47.266,0.0786229,1509.63,-0.000624656,-0.0104252,47.2718,0.147525,463968,2443.49,2786.41,2.24313;
5.225,632.91,47.263,0.0787161,1509.56,-0.000611,-0.0104478,47.2688,0.147702,464401,2445.64,2788.74,2.24748;
5.23,632.783,47.26,0.0788094,1509.49,-0.000590489,-0.010458,47.2658,0.147875,464833,2447.79,2791.06,2.25183;
5.235,632.657,47.257,0.0789028,1509.42,-0.000571765,-0.0104541,47.2628,0.148041,465266,2449.93,2793.39,2.25618;
5.24,632.53,47.254,0.0789962,1509.35,-0.000562681,-0.0104401,47.2598,0.148203,465698,2452.08,2795.71,2.26054;
5.245,632.403,47.251,0.0790897,1509.29,-0.000567321,-0.0104236,47.2568,0.148365,466131,2454.23,2798.03,2.2649;
5.25,632.276,47.248,0.0791832,1509.22,-0.000584479,-0.0104133,47.2539,0.148529,466563,2456.37,2800.35,2.26927;
5.255,632.149,47.245,0.0792768,1509.15,-0.000608147,-0.0104154,47.2509,0.1487,466995,2458.52,2802.67,2.27364;
5.26,632.023,47.242,0.0793705,1509.08,-0.000629819,-0.0104313,47.2479,0.148878,467428,2460.66,2804.99,2.27802;
5.265,631.896,47.239,0.0794643,1509.01,-0.000641735,-0.0104574,47.2449,0.14906,467860,2462.81,2807.31,2.2824;
5.27,631.77,47.236,0.0795581,1508.94,-0.000639815,-0.0104861,47.2419,0.149244,468292,2464.95,2809.63,2.28678;
5.275,631.643,47.233,0.079652,1508.88,-0.000625188,-0.0105089,47.2389,0.149425,468724,2467.1,2811.95,2.29117;
5.28,631.517,47.23,0.0797459,1508.81,-0.000603724,-0.0105196,47.2359,0.149601,469157,2469.24,2814.27,2.29556;
5.285,631.39,47.2269,0.07984,1508.74,-0.00058379,-0.0105166,47.2329,0.149771,469589,2471.39,2816.59,2.29996;
5.29,631.264,47.2239,0.0799341,1508.67,-0.000573053,-0.0105036,47.2299,0.149937,470021,2473.53,2818.91,2.30436;
5.295,631.138,47.2209,0.0800282,1508.6,-0.000575585,-0.0104879,47.2268,0.150101,470453,2475.67,2821.22,2.30877;
5.3,631.011,47.2179,0.0801224,1508.54,-0.000590339,-0.0104779,47.2238,0.150268,470886,2477.82,2823.54,2.31318;
5.305,630.885,47.2149,0.0802167,1508.47,-0.000611577,-0.0104797,47.2208,0.15044,471318,2479.96,2825.85,2.31759;
5.31,630.759,47.2119,0.080311,1508.4,-0.000631079,-0.010495,47.2178,0.150618,471750,2482.1,2828.17,2.32201;
5.315,630.633,47.2089,0.0804055,1508.33,-0.000641272,-0.0105201,47.2148,0.150801,472182,2484.24,2830.48,2.32643;
5.32,630.507,47.2058,0.0804999,1508.26,-0.000638098,-0.0105479,47.2118,0.150984,472614,2486.39,2832.8,2.33086;
5.325,630.381,47.2028,0.0805945,1508.2,-0.000622536,-0.0105701,47.2088,0.151165,473046,2488.53,2835.11,2.33529;
5.33,630.255,47.1998,0.0806891,1508.13,-0.000600197,-0.0105805,47.2058,0.15134,473478,2490.67,2837.42,2.33973;
5.335,630.129,47.1968,0.0807838,1508.06,-0.000579171,-0.0105776,47.2027,0.151509,473910,2492.81,2839.73,2.34417;
5.34,630.003,47.1938,0.0808786,1507.99,-0.00056695,-0.0105648,47.1997,0.151673,474342,2494.95,2842.04,2.34861;
5.345,629.877,47.1908,0.0809734,1507.92,-0.000567587,-0.0105491,47.1967,0.151835,474774,2497.09,2844.36,2.35306;
5.35,629.751,47.1877,0.0810682,1507.86,-0.000580187,-0.0105387,47.1936,0.151999,475206,2499.23,2846.67,2.35751;
5.355,629.626,47.1847,0.0811631,1507.79,-0.000599278,-0.0105396,47.1906,0.152168,475638,2501.37,2848.98,2.36197;
5.36,629.5,47.1817,0.0812581,1507.72,-0.000616912,-0.0105535,47.1876,0.152343,476070,2503.51,2851.28,2.36643;
5.365,629.374,47.1787,0.0813532,1507.65,-0.0006257,-0.010577,47.1846,0.152521,476502,2505.65,2853.59,2.3709;
5.37,629.249,47.1756,0.0814483,1507.58,-0.000621608,-0.0106033,47.1815,0.1527,476934,2507.79,2855.9,2.37537;
5.375,629.123,47.1726,0.0815434,1507.52,-0.00060547,-0.0106242,47.1785,0.152876,477366,2509.93,2858.21,2.37984;
5.38,628.998,47.1696,0.0816387,1507.45,-0.000582641,-0.0106338,47.1755,0.153046,477798,2512.07,2860.51,2.38432;
5.385,628.872,47.1666,0.081734,1507.38,-0.000560947,-0.0106303,47.1724,0.15321,478229,2514.2,2862.82,2.38881;
5.39,628.747,47.1635,0.0818293,1507.31,-0.0005477,-0.0106171,47.1694,0.153368,478661,2516.34,2865.13,2.39329;
5.395,628.621,47.1605,0.0819247,1507.25,-0.000546937,-0.0106008,47.1663,0.153525,479093,2518.48,2867.43,2.39779;
5.4,628.496,47.1575,0.0820201,1507.18,-0.000557905,-0.0105895,47.1633,0.153683,479525,2520.62,2869.74,2.40228;
5.405,628.371,47.1544,0.0821156,1507.11,-0.000575388,-0.010589,47.1603,0.153845,479957,2522.75,2872.04,2.40678;
5.41,628.246,47.1514,0.0822111,1507.04,-0.000591705,-0.0106011,47.1572,0.154012,480388,2524.89,2874.34,2.41129;
5.415,628.121,47.1484,0.0823067,1506.98,-0.000599645,-0.0106226,47.1542,0.154183,480820,2527.02,2876.65,2.4158;
5.42,627.995,47.1454,0.0824023,1506.91,-0.000595195,-0.0106469,47.1511,0.154355,481252,2529.16,2878.95,2.42031;
5.425,627.87,47.1423,0.082498,1506.84,-0.00057905,-0.0106662,47.1481,0.154523,481684,2531.3,2881.25,2.42483;
5.43,627.745,47.1393,0.0825938,1506.77,-0.000556318,-0.0106746,47.145,0.154686,482115,2533.43,2883.55,2.42935;
5.435,627.62,47.1363,0.0826896,1506.71,-0.000534563,-0.0106702,47.142,0.154842,482547,2535.57,2885.85,2.43388;
5.44,627.495,47.1332,0.0827854,1506.64,-0.000520923,-0.0106562,47.1389,0.154993,482978,2537.7,2888.15,2.43841;
5.445,627.371,47.1302,0.0828813,1506.57,-0.00051941,-0.0106392,47.1359,0.155142,483410,2539.83,2890.45,2.44294;
5.45,627.246,47.1271,0.0829772,1506.5,-0.000529413,-0.0106267,47.1328,0.155292,483842,2541.97,2892.75,2.44748;
5.455,627.121,47.1241,0.0830731,1506.44,-0.000545958,-0.0106246,47.1298,0.155446,484273,2544.1,2895.05,2.45203;
5.46,626.996,47.1211,0.083169,1506.37,-0.000561624,-0.0106347,47.1267,0.155604,484705,2546.24,2897.34,2.45658;
5.465,626.871,47.118,0.083265,1506.3,-0.000569372,-0.0106541,47.1237,0.155767,485136,2548.37,2899.64,2.46113;
5.47,626.747,47.115,0.0833611,1506.23,-0.000565215,-0.0106763,47.1206,0.155929,485568,2550.5,2901.94,2.46569;
5.475,626.622,47.1119,0.0834572,1506.17,-0.000549708,-0.0106939,47.1176,0.156089,485999,2552.63,2904.23,2.47025;
5.48,626.498,47.1089,0.0835534,1506.1,-0.00052772,-0.0107009,47.1145,0.156244,486431,2554.77,2906.53,2.47481;
5.485,626.373,47.1059,0.0836495,1506.03,-0.000506557,-0.0106957,47.1114,0.156392,486862,2556.9,2908.82,2.47938;
5.49,626.249,47.1028,0.0837457,1505.97,-0.000493185,-0.010681,47.1084,0.156535,487294,2559.03,2911.12,2.48396;
5.495,626.124,47.0998,0.0838419,1505.9,-0.000491592,-0.0106631,47.1053,0.156675,487725,2561.16,2913.41,2.48854;
5.5,626,47.0967,0.0839382,1505.83,-0.000501298,-0.0106495,47.1023,0.156817,488157,2563.29,2915.7,2.49312;
5.505,625.876,47.0937,0.0840345,1505.76,-0.000517565,-0.0106459,47.0992,0.156963,488588,2565.42,2918,2.49771;
5.51,625.751,47.0906,0.0841307,1505.7,-0.000533224,-0.0106542,47.0962,0.157114,489019,2567.55,2920.29,2.5023;
5.515,625.627,47.0876,0.0842271,1505.63,-0.000541402,-0.0106716,47.0931,0.157268,489451,2569.68,2922.58,2.5069;
5.52,625.503,47.0845,0.0843234,1505.56,-0.000538137,-0.010692,47.0901,0.157423,489882,2571.81,2924.87,2.5115;
5.525,625.379,47.0815,0.0844198,1505.5,-0.000523852,-0.010708,47.087,0.157575,490313,2573.94,2927.16,2.5161;
5.53,625.255,47.0784,0.0845163,1505.43,-0.000503179,-0.010714,47.0839,0.157723,490745,2576.07,2929.45,2.52071;
5.535,625.131,47.0754,0.0846127,1505.36,-0.000483175,-0.0107081,47.0808,0.157864,491176,2578.2,2931.74,2.52533;
5.54,625.007,47.0723,0.0847092,1505.3,-0.000470635,-0.0106929,47.0778,0.158,491607,2580.33,2934.03,2.52994;
5.545,624.883,47.0693,0.0848057,1505.23,-0.00046952,-0.0106745,47.0747,0.158135,492038,2582.46,2936.32,2.53457;
5.55,624.759,47.0662,0.0849021,1505.16,-0.000479475,-0.0106601,47.0717,0.15827,492469,2584.58,2938.6,2.53919;
5.555,624.635,47.0632,0.0849986,1505.1,-0.000495992,-0.0106554,47.0686,0.15841,492901,2586.71,2940.89,2.54382;
5.56,624.511,47.0601,0.0850952,1505.03,-0.000512142,-0.0106622,47.0656,0.158554,493332,2588.84,2943.18,2.54846;
5.565,624.388,47.0571,0.0851917,1504.96,-0.000521221,-0.0106781,47.0625,0.158703,493763,2590.97,2945.46,2.5531;
5.57,624.264,47.054,0.0852883,1504.9,-0.000519286,-0.010697,47.0594,0.158852,494194,2593.09,2947.75,2.55774;
5.575,624.14,47.051,0.0853849,1504.83,-0.000506635,-0.010712,47.0564,0.158999,494625,2595.22,2950.03,2.56239;
5.58,624.017,47.0479,0.0854815,1504.76,-0.000487671,-0.0107173,47.0533,0.159142,495056,2597.35,2952.32,2.56704;
5.585,623.893,47.0448,0.0855782,1504.7,-0.000469205,-0.0107112,47.0502,0.159279,495487,2599.47,2954.6,2.5717;
